Date,Clics,Impressions,CTR,Position
2025-05-14,23,2815,0.82%,17.4
2025-05-15,31,2284,1.36%,15.7
2025-05-16,27,2229,1.21%,14.7
2025-05-17,19,2425,0.78%,14.8
2025-05-18,32,2947,1.09%,15.9
2025-05-19,24,2323,1.03%,15.3
2025-05-20,17,2314,0.73%,15.1
2025-05-21,19,2404,0.79%,14
2025-05-22,31,2488,1.25%,14.7
2025-05-23,21,2430,0.86%,14.7
2025-05-24,27,2769,0.98%,14.1
2025-05-25,17,2714,0.63%,14.8
2025-05-26,24,2447,0.98%,15.1
2025-05-27,29,2532,1.15%,14.8
2025-05-28,23,2502,0.92%,14
2025-05-29,31,2583,1.2%,15.1
2025-05-30,22,2392,0.92%,15.7
2025-05-31,21,2420,0.87%,15.9
2025-06-01,21,2672,0.79%,15.2
2025-06-02,25,2524,0.99%,13.9
2025-06-03,32,3343,0.96%,17
2025-06-04,22,2993,0.74%,15.3
2025-06-05,21,2857,0.74%,15.9
2025-06-06,26,2968,0.88%,15.3
2025-06-07,28,3261,0.86%,14.4
2025-06-08,24,4529,0.53%,22.1
2025-06-09,37,3995,0.93%,19.3
2025-06-10,39,2793,1.4%,15.1
2025-06-11,22,2899,0.76%,14.9
2025-06-12,24,2525,0.95%,15.8
2025-06-13,23,2372,0.97%,15.8
2025-06-14,27,2885,0.94%,15.5
2025-06-15,22,2731,0.81%,15.1
2025-06-16,28,2585,1.08%,15.5
2025-06-17,23,2683,0.86%,14.5
2025-06-18,17,2633,0.65%,16.7
2025-06-19,12,2456,0.49%,15.3
2025-06-20,18,2410,0.75%,15.6
2025-06-21,21,2351,0.89%,14.4
2025-06-22,27,2539,1.06%,14.9
2025-06-23,32,2449,1.31%,14.5
2025-06-24,27,2680,1.01%,15.3
2025-06-25,36,2652,1.36%,14.4
2025-06-26,31,2692,1.15%,14.1
2025-06-27,31,2631,1.18%,15.2
2025-06-28,30,2612,1.15%,15.2
2025-06-29,32,2831,1.13%,14.4
2025-06-30,19,2629,0.72%,15.1
2025-07-01,39,2675,1.46%,14.6
2025-07-02,34,2977,1.14%,14.9
2025-07-03,30,2790,1.08%,14.5
2025-07-04,23,2891,0.8%,15.9
2025-07-05,24,3646,0.66%,16
2025-07-06,35,3271,1.07%,15.7
2025-07-07,25,2706,0.92%,14
2025-07-08,27,2845,0.95%,16.1
2025-07-09,22,3190,0.69%,15
2025-07-10,27,2919,0.92%,16.9
2025-07-11,25,5016,0.5%,23.9
2025-07-12,23,3714,0.62%,19.7
2025-07-13,30,2756,1.09%,14.7
2025-07-14,28,2677,1.05%,14.6
2025-07-15,30,2809,1.07%,15.1
2025-07-16,34,2676,1.27%,13.7
2025-07-17,28,2479,1.13%,14.2
2025-07-18,46,2559,1.8%,13.9
2025-07-19,37,2700,1.37%,13.7
2025-07-20,38,2934,1.3%,14.2
2025-07-21,51,2827,1.8%,12.9
2025-07-22,34,3172,1.07%,14.9
2025-07-23,37,3037,1.22%,13.8
2025-07-24,52,2731,1.9%,13.9
2025-07-25,27,2807,0.96%,14.3
2025-07-26,34,2882,1.18%,13.7
2025-07-27,34,2964,1.15%,12.5
2025-07-28,44,3210,1.37%,14.4
2025-07-29,31,3036,1.02%,13.8
2025-07-30,61,3049,2%,12.6
2025-07-31,47,2935,1.6%,11.3
2025-08-01,51,2946,1.73%,12.4
2025-08-02,38,2725,1.39%,12.1
2025-08-03,38,2792,1.36%,12.1
2025-08-04,33,2985,1.11%,12.9
2025-08-05,39,3803,1.03%,14.6
2025-08-06,39,3199,1.22%,14.4
2025-08-07,33,3090,1.07%,14.4
2025-08-08,45,3246,1.39%,12.6
2025-08-09,34,3290,1.03%,12.8
2025-08-10,29,3310,0.88%,14.6
2025-08-11,24,5628,0.43%,22.6
2025-08-12,24,3100,0.77%,14.9
2025-08-13,50,3027,1.65%,13.2
2025-08-14,45,2924,1.54%,12.8
2025-08-15,32,2897,1.1%,11.4
2025-08-16,38,2936,1.29%,11.5
2025-08-17,45,2846,1.58%,12.1
2025-08-18,39,2893,1.35%,11.7
2025-08-19,46,3241,1.42%,12.6
2025-08-20,54,3142,1.72%,11.5
2025-08-21,51,3360,1.52%,12
2025-08-22,42,3080,1.36%,12.6
2025-08-23,34,2923,1.16%,12.1
2025-08-24,35,3166,1.11%,12.5
2025-08-25,32,3067,1.04%,12.9
2025-08-26,38,3225,1.18%,13.5
2025-08-27,47,3602,1.3%,13.7
2025-08-28,54,3567,1.51%,13.4
2025-08-29,43,3507,1.23%,14.3
2025-08-30,48,3767,1.27%,13.2
2025-08-31,50,3621,1.38%,12.2
2025-09-01,44,3443,1.28%,13
2025-09-02,46,3321,1.39%,12.8
2025-09-03,53,3406,1.56%,12.8
2025-09-04,43,3357,1.28%,13.5
2025-09-05,40,3925,1.02%,14.3
2025-09-06,49,3628,1.35%,11.6
2025-09-07,66,4228,1.56%,11.6
2025-09-08,57,3298,1.73%,12.1
2025-09-09,59,3603,1.64%,12.9
2025-09-10,81,3729,2.17%,11.1
2025-09-11,54,3186,1.69%,11
2025-09-12,55,3108,1.77%,9.7
2025-09-13,64,3807,1.68%,8.1
2025-09-14,73,3950,1.85%,8.1
2025-09-15,58,3129,1.85%,8.6
2025-09-16,51,2925,1.74%,8.8
2025-09-17,69,3207,2.15%,8.8
2025-09-18,89,3055,2.91%,9.6
2025-09-19,68,2907,2.34%,9.9
2025-09-20,79,3637,2.17%,9.6
2025-09-21,70,4043,1.73%,8.9
2025-09-22,54,3151,1.71%,8.8
2025-09-23,63,3290,1.91%,9.3
2025-09-24,78,3497,2.23%,8.9
2025-09-25,45,2899,1.55%,9.4
2025-09-26,57,3229,1.77%,9.5
2025-09-27,52,3601,1.44%,9.2
2025-09-28,55,3969,1.39%,9.3
2025-09-29,67,2911,2.3%,9.8
2025-09-30,63,3017,2.09%,9.8
2025-10-01,63,3153,2%,9
2025-10-02,45,3058,1.47%,8.9
2025-10-03,61,2983,2.04%,8.8
2025-10-04,72,3768,1.91%,9.2
2025-10-05,63,3606,1.75%,9
2025-10-06,56,3203,1.75%,9.7
2025-10-07,52,2881,1.8%,9
2025-10-08,71,3067,2.31%,8.6
2025-10-09,102,3426,2.98%,9.8
2025-10-10,66,3136,2.1%,9.4
2025-10-11,66,3537,1.87%,8.8
2025-10-12,68,3685,1.85%,8.7
2025-10-13,62,3230,1.92%,8.7
2025-10-14,61,3150,1.94%,9.1
2025-10-15,65,4573,1.42%,11.9
2025-10-16,68,4261,1.6%,12.3
2025-10-17,44,3073,1.43%,9.6
2025-10-18,75,3741,2%,9
2025-10-19,78,4290,1.82%,8.9
2025-10-20,74,4237,1.75%,8.6
2025-10-21,103,5820,1.77%,8.5
2025-10-22,72,4895,1.47%,8.6
2025-10-23,68,4625,1.47%,8.9
2025-10-24,75,4354,1.72%,8
2025-10-25,76,4753,1.6%,8.7
2025-10-26,92,5240,1.76%,9.1
2025-10-27,70,5007,1.4%,8.8
2025-10-28,70,5875,1.19%,8.8
2025-10-29,65,5659,1.15%,8.3
2025-10-30,94,5361,1.75%,8.2
2025-10-31,90,5253,1.71%,7.7
2025-11-01,105,5788,1.81%,8
2025-11-02,116,6375,1.82%,8.2
2025-11-03,78,4647,1.68%,8.1
2025-11-04,85,5244,1.62%,8.2
2025-11-05,95,5148,1.85%,8.3
2025-11-06,88,5283,1.67%,8.1
2025-11-07,75,4614,1.63%,8.5
2025-11-08,85,5975,1.42%,8.1
2025-11-09,95,6466,1.47%,8.3
2025-11-10,91,5744,1.58%,9.8
2025-11-11,150,7584,1.98%,8.4
2025-11-12,96,6052,1.59%,8.4
2025-11-13,66,4991,1.32%,8.3
2025-11-14,109,4872,2.24%,8.5
2025-11-15,117,6332,1.85%,8.2
2025-11-16,134,7336,1.83%,7.9
2025-11-17,96,5436,1.77%,8.5
2025-11-18,127,6115,2.08%,8.2
2025-11-19,101,5921,1.71%,8.3
2025-11-20,103,5250,1.96%,8.6
2025-11-21,76,5021,1.51%,8.2
2025-11-22,124,7815,1.59%,9.7
2025-11-23,175,8498,2.06%,8.3
2025-11-24,132,6168,2.14%,8.3
2025-11-25,148,7268,2.04%,8
2025-11-26,116,7331,1.58%,11.7
2025-11-27,125,5774,2.16%,8.8
2025-11-28,141,6547,2.15%,8.9
2025-11-29,136,7733,1.76%,8.6
2025-11-30,198,8415,2.35%,8.3
2025-12-01,149,6907,2.16%,8.3
2025-12-02,155,8278,1.87%,8.2
2025-12-03,126,8425,1.5%,10.7
2025-12-04,106,6356,1.67%,8.6
2025-12-05,125,6344,1.97%,8.7
2025-12-06,137,7301,1.88%,8.6
2025-12-07,167,7528,2.22%,8.4
2025-12-08,143,6261,2.28%,8.6
2025-12-09,142,7132,1.99%,9
2025-12-10,142,8285,1.71%,13.2
2025-12-11,124,5763,2.15%,8.9
2025-12-12,103,6018,1.71%,11.3
2025-12-13,110,6070,1.81%,9.8
2025-12-14,128,5953,2.15%,8.8
2025-12-15,107,5833,1.83%,11.8
2025-12-16,106,4643,2.28%,9.4
2025-12-17,66,4521,1.46%,8.9
2025-12-18,78,4235,1.84%,9.8
2025-12-19,68,3865,1.76%,9.1
2025-12-20,67,4526,1.48%,8.8
2025-12-21,107,5819,1.84%,8.5
2025-12-22,97,4493,2.16%,8.6
2025-12-23,82,4243,1.93%,8.6
2025-12-24,54,4151,1.3%,8.7
2025-12-25,74,4771,1.55%,8.2
2025-12-26,74,4640,1.59%,9.5
2025-12-27,58,4287,1.35%,9.7
2025-12-28,66,4164,1.59%,8.5
2025-12-29,57,3876,1.47%,10
2025-12-30,54,4087,1.32%,9.5
2025-12-31,31,3979,0.78%,12.9
2026-01-01,55,3594,1.53%,9.1
2026-01-02,49,3612,1.36%,8.6
2026-01-03,54,4035,1.34%,8.6
2026-01-04,65,3865,1.68%,9
2026-01-05,42,3139,1.34%,9.6
2026-01-06,39,3022,1.29%,8.5
2026-01-07,59,3706,1.59%,9.2
2026-01-08,61,5612,1.09%,10.2
2026-01-09,39,4344,0.9%,12.3
2026-01-10,35,4697,0.75%,11
2026-01-11,68,3964,1.72%,9
2026-01-12,45,3343,1.35%,9.1
2026-01-13,48,3145,1.53%,9.5
2026-01-14,59,4432,1.33%,13.1
2026-01-15,40,2752,1.45%,8.3
2026-01-16,50,3202,1.56%,9
2026-01-17,55,3569,1.54%,8.9
2026-01-18,32,3644,0.88%,9.1
2026-01-19,37,2838,1.3%,10.2
2026-01-20,33,2779,1.19%,10.3
2026-01-21,26,3468,0.75%,10.3
2026-01-22,26,3787,0.69%,15.5
2026-01-23,44,2878,1.53%,11.7
2026-01-24,43,3184,1.35%,9.9
2026-01-25,36,3116,1.16%,8.8
2026-01-26,48,3011,1.59%,10.5
2026-01-27,35,2862,1.22%,10.9
2026-01-28,33,2630,1.25%,9.8
2026-01-29,51,3497,1.46%,16
2026-01-30,39,2481,1.57%,9.6
2026-01-31,39,3203,1.22%,10.3
2026-02-01,39,3402,1.15%,9.7
2026-02-02,39,2704,1.44%,10.1
2026-02-03,34,2602,1.31%,8.8
2026-02-04,34,2784,1.22%,9.3
2026-02-05,36,2750,1.31%,10.8
2026-02-06,50,3292,1.52%,14.6
2026-02-07,33,2555,1.29%,7.9
2026-02-08,37,3130,1.18%,10.7
2026-02-09,24,2759,0.87%,12.2
2026-02-10,29,2786,1.04%,11.1
2026-02-11,23,3363,0.68%,13.5
2026-02-12,28,2748,1.02%,11.9
2026-02-13,32,2606,1.23%,11
2026-02-14,37,3055,1.21%,10.2
2026-02-15,36,3253,1.11%,10.4
2026-02-16,32,2932,1.09%,10.5
2026-02-17,40,3897,1.03%,11.3
2026-02-18,51,4177,1.22%,15.5
2026-02-19,55,2504,2.2%,10.1
2026-02-20,33,2995,1.1%,10.9
2026-02-21,36,2802,1.28%,10.5
2026-02-22,31,2821,1.1%,10.4
2026-02-23,34,2535,1.34%,10.2
2026-02-24,37,2796,1.32%,11.3
2026-02-25,28,3074,0.91%,14.4
2026-02-26,32,2358,1.36%,10.3
2026-02-27,36,3066,1.17%,11.7
2026-02-28,46,2791,1.65%,10.5
2026-03-01,39,2936,1.33%,11.9
2026-03-02,20,2576,0.78%,12.3
2026-03-03,38,2376,1.6%,10.7
2026-03-04,41,2455,1.67%,9.8
2026-03-05,26,2468,1.05%,9.3
2026-03-06,29,2400,1.21%,9.1
2026-03-07,33,2767,1.19%,9.3
2026-03-08,48,3829,1.25%,13.4
2026-03-09,36,2710,1.33%,9.6
2026-03-10,32,2413,1.33%,10.5
2026-03-11,38,2730,1.39%,9.7
2026-03-12,36,3254,1.11%,12.1
2026-03-13,30,2574,1.17%,10.9
2026-03-14,33,2661,1.24%,9.1
2026-03-15,30,2457,1.22%,9
2026-03-16,42,2090,2.01%,8.7
2026-03-17,25,2016,1.24%,9.3
2026-03-18,34,2222,1.53%,8.3
2026-03-19,37,2346,1.58%,9.4
2026-03-20,34,1911,1.78%,9.2
2026-03-21,31,2182,1.42%,8.8
2026-03-22,43,2403,1.79%,9.1
2026-03-23,30,1996,1.5%,8.3
2026-03-24,42,1943,2.16%,8
2026-03-25,39,2417,1.61%,8.2
2026-03-26,37,2193,1.69%,7.4
2026-03-27,42,2240,1.88%,8.1
2026-03-28,52,2469,2.11%,7.6
2026-03-29,33,2544,1.3%,8
2026-03-30,36,2202,1.63%,7.8
2026-03-31,29,1962,1.48%,8.3
2026-04-01,40,2237,1.79%,8.4
2026-04-02,33,1899,1.74%,7.8
2026-04-03,36,2099,1.72%,8.7
2026-04-04,33,2050,1.61%,8.1
2026-04-05,22,2059,1.07%,8.3
2026-04-06,30,1964,1.53%,8
2026-04-07,33,1754,1.88%,8.1
2026-04-08,21,2436,0.86%,11.7
2026-04-09,33,1691,1.95%,8.3
2026-04-10,26,1784,1.46%,8.6
2026-04-11,41,2042,2.01%,8.5
2026-04-12,34,2315,1.47%,8.9
2026-04-13,21,1910,1.1%,8.2
2026-04-14,27,2004,1.35%,9.3
2026-04-15,40,2594,1.54%,11.2
2026-04-16,29,2014,1.44%,8.4
2026-04-17,24,2026,1.18%,8.5
2026-04-18,46,2213,2.08%,8.1
2026-04-19,31,2411,1.29%,8.6
2026-04-20,26,2057,1.26%,8.2
2026-04-21,32,2079,1.54%,8.6
2026-04-22,28,2196,1.28%,8.6
2026-04-23,29,2456,1.18%,10.6
2026-04-24,30,2311,1.3%,7.7
2026-04-25,28,2341,1.2%,7.9
2026-04-26,39,2339,1.67%,9.2
2026-04-27,19,1995,0.95%,8.3
2026-04-28,25,2005,1.25%,8.9
2026-04-29,34,2564,1.33%,10.7
2026-04-30,34,1879,1.81%,9.3
2026-05-01,35,2083,1.68%,8.3
2026-05-02,18,1889,0.95%,7.7
2026-05-03,28,2214,1.26%,8.7
2026-05-04,37,2022,1.83%,8.5
2026-05-05,34,1891,1.8%,9
2026-05-06,37,2011,1.84%,8.9
2026-05-07,43,2571,1.67%,8.6
2026-05-08,42,2715,1.55%,10.4
2026-05-09,34,2189,1.55%,8.7
2026-05-10,42,2477,1.7%,8.9
2026-05-11,33,1913,1.73%,8.6
2026-05-12,35,1874,1.87%,8.8
2026-05-13,30,2527,1.19%,11.4