"id";"Actif";"Libellé";"id Catégorie mère";"Catégorie mère";"En ligne";"Compte comptable"
"5";"1";"Baguettes magiques";"0";"";"0";""
"8";"1";"Bijoux";"0";"";"0";""
"23";"1";"Figurines";"0";"";"0";""
"24";"1";"Friandises";"0";"";"0";""
"26";"1";"Jeux et puzzles";"0";"";"0";""
"28";"1";"Maison et accessoires";"0";"";"0";""
"32";"1";"Papeterie";"0";"";"0";""
"33";"1";"Peluches";"0";"";"0";""
"34";"1";"Pièces de collection";"0";"";"0";""
"45";"1";"Vêtements";"0";"";"0";""
"31";"0";"Non classé";"0";"";"0";""
"46";"1";"Artisanat et Curiosités";"0";"";"0";""
"6";"1";"Baguettes Ollivander";"5";"Baguettes magiques";"0";""
"7";"1";"Baguettes personnages";"5";"Baguettes magiques";"0";""
"38";"1";"Présentoirs";"5";"Baguettes magiques";"0";""
"4";"1";"Badges et Pin's";"8";"Bijoux";"0";""
"11";"1";"Boucles d'oreilles";"8";"Bijoux";"0";""
"12";"1";"Broches";"8";"Bijoux";"0";""
"17";"1";"Colliers et pendentifs";"8";"Bijoux";"0";""
"50";"1";"Montres";"8";"Bijoux";"0";""
"51";"1";"Bagues";"8";"Bijoux";"0";""
"52";"1";"Bracelets";"8";"Bijoux";"0";""
"3";"1";"Autres";"23";"Figurines";"0";""
"35";"1";"POP";"23";"Figurines";"0";""
"19";"1";"Cuisine";"28";"Maison et accessoires";"0";""
"21";"1";"Décorations";"28";"Maison et accessoires";"0";""
"30";"1";"Mugs et verres";"28";"Maison et accessoires";"0";""
"36";"1";"Porte-clés";"28";"Maison et accessoires";"0";""
"41";"1";"Sacs et Porte-monnaies";"28";"Maison et accessoires";"0";""
"53";"1";"Parapluies";"28";"Maison et accessoires";"0";""
"14";"1";"Carnets";"32";"Papeterie";"0";""
"15";"1";"Cartes";"32";"Papeterie";"0";""
"27";"1";"Livres";"32";"Papeterie";"0";""
"29";"1";"Marque-page";"32";"Papeterie";"0";""
"37";"1";"Posters";"32";"Papeterie";"0";""
"42";"1";"Stickers";"32";"Papeterie";"0";""
"43";"1";"Stylos et sceaux";"32";"Papeterie";"0";""
"2";"1";"Accessoires";"45";"Vêtements";"0";""
"10";"1";"Bonnets et gants";"45";"Vêtements";"0";""
"13";"1";"Robes et jupes";"45";"Vêtements";"0";""
"16";"1";"Chaussettes";"45";"Vêtements";"0";""
"18";"1";"Cravates";"45";"Vêtements";"0";""
"22";"1";"Echarpes";"45";"Vêtements";"0";""
"39";"1";"Pulls";"45";"Vêtements";"0";""
"40";"1";"Robes de sorciers";"45";"Vêtements";"0";""
"44";"1";"T-shirts";"45";"Vêtements";"0";""
"54";"1";"Bébé";"45";"Vêtements";"0";""
"56";"1";"Baguettes";"46";"Artisanat et Curiosités";"0";""
"61";"1";"Beauté";"46";"Artisanat et Curiosités";"0";""
"59";"1";"Bébé";"46";"Artisanat et Curiosités";"0";""
"47";"1";"Bijoux";"46";"Artisanat et Curiosités";"0";""
"66";"1";"Bougies";"46";"Artisanat et Curiosités";"0";""
"63";"1";"Coques de téléphone";"46";"Artisanat et Curiosités";"0";""
"68";"1";"Cuisine";"46";"Artisanat et Curiosités";"0";""
"60";"1";"Décorations";"46";"Artisanat et Curiosités";"0";""
"67";"1";"Figurines";"46";"Artisanat et Curiosités";"0";""
"65";"1";"Friandises";"46";"Artisanat et Curiosités";"0";""
"57";"1";"Miroirs";"46";"Artisanat et Curiosités";"0";""
"64";"1";"Mugs et Verres";"46";"Artisanat et Curiosités";"0";""
"49";"1";"Papeterie";"46";"Artisanat et Curiosités";"0";""
"55";"1";"Pin's et Porte-clés";"46";"Artisanat et Curiosités";"0";""
"69";"1";"Plaids et Coussins";"46";"Artisanat et Curiosités";"0";""
"48";"1";"Potions";"46";"Artisanat et Curiosités";"0";""
"62";"1";"Sacs et porte-monnaies";"46";"Artisanat et Curiosités";"0";""